"OTU","Bin"
"OTU3059",1
"OTU1630",1
"OTU3322",1
"OTU1067",1
"OTU3212",1
"OTU2614",1
"OTU1829",1
"OTU667",1
"OTU2444",1
"OTU697",1
"OTU691",1
"OTU2323",1
"OTU735",1
"OTU2268",1
"OTU1905",1
"OTU3108",1
"OTU2887",1
"OTU878",1
"OTU2332",1
"OTU1377",1
"OTU1355",1
"OTU1440",1
"OTU2197",1
"OTU1012",1
"OTU1633",1
"OTU2631",1
"OTU2668",1
"OTU1172",1
"OTU3",1
"OTU2804",1
"OTU3269",1
"OTU145",1
"OTU62",1
"OTU1348",2
"OTU2384",2
"OTU3292",2
"OTU860",2
"OTU1512",2
"OTU1945",2
"OTU1791",2
"OTU2103",2
"OTU1846",2
"OTU53",2
"OTU1392",2
"OTU1219",2
"OTU2402",2
"OTU2416",2
"OTU2452",2
"OTU1457",2
"OTU982",2
"OTU2161",2
"OTU289",2
"OTU276",2
"OTU2616",2
"OTU1742",2
"OTU1308",2
"OTU2597",2
"OTU1060",2
"OTU1145",2
"OTU2625",2
"OTU395",2
"OTU1126",2
"OTU1168",2
"OTU1169",2
"OTU1542",2
"OTU1998",2
"OTU1944",2
"OTU1521",2
"OTU1880",2
"OTU1911",2
"OTU1702",2
"OTU2968",2
"OTU1813",2
"OTU1583",2
"OTU3151",2
"OTU2999",2
"OTU274",2
"OTU1995",2
"OTU699",2
"OTU1709",2
"OTU996",2
"OTU2511",2
"OTU2669",2
"OTU786",2
"OTU1175",2
"OTU1106",2
"OTU2251",2
"OTU865",2
"OTU3055",2
"OTU899",2
"OTU79",2
"OTU1448",2
"OTU2929",2
"OTU734",2
"OTU2592",3
"OTU644",3
"OTU2514",3
"OTU2445",3
"OTU2724",3
"OTU2639",3
"OTU850",3
"OTU1049",3
"OTU1129",3
"OTU2572",3
"OTU3113",3
"OTU2372",3
"OTU2838",3
"OTU1033",3
"OTU2133",3
"OTU2751",3
"OTU2544",3
"OTU2018",3
"OTU2927",3
"OTU2485",3
"OTU972",3
"OTU2306",3
"OTU1380",3
"OTU2394",3
"OTU436",3
"OTU2261",4
"OTU2212",4
"OTU1836",4
"OTU1275",4
"OTU118",4
"OTU366",4
"OTU2587",4
"OTU1589",4
"OTU2726",4
"OTU103",4
"OTU240",4
"OTU917",4
"OTU188",4
"OTU508",4
"OTU377",4
"OTU2538",4
"OTU63",4
"OTU1170",4
"OTU499",4
"OTU985",4
"OTU1026",4
"OTU1561",4
"OTU2448",4
"OTU2319",4
"OTU2426",4
"OTU631",4
"OTU3147",5
"OTU1562",5
"OTU2653",5
"OTU1692",5
"OTU1699",5
"OTU1865",5
"OTU157",5
"OTU2996",5
"OTU3047",5
"OTU1573",5
"OTU2955",5
"OTU2224",5
"OTU2842",5
"OTU1604",5
"OTU328",5
"OTU2870",5
"OTU3086",5
"OTU2941",5
"OTU2066",5
"OTU1684",5
"OTU2082",5
"OTU2578",5
"OTU2829",5
"OTU2053",5
"OTU1956",5
"OTU1582",5
"OTU1766",5
"OTU1885",5
"OTU3009",5
"OTU3065",5
"OTU1549",5
"OTU1686",5
"OTU2104",5
"OTU3137",5
"OTU2111",5
"OTU1938",5
"OTU2861",5
"OTU1520",5
"OTU2857",5
"OTU1750",5
"OTU1695",5
"OTU1827",5
"OTU1981",5
"OTU2048",5
"OTU1185",5
"OTU3033",5
"OTU1483",5
"OTU1953",5
"OTU1343",6
"OTU792",6
"OTU83",6
"OTU2356",6
"OTU958",6
"OTU682",6
"OTU12",6
"OTU2259",6
"OTU2603",6
"OTU9",6
"OTU1122",6
"OTU1197",6
"OTU2629",6
"OTU1068",6
"OTU2443",6
"OTU2515",6
"OTU3063",6
"OTU427",6
"OTU175",6
"OTU862",6
"OTU149",6
"OTU964",6
"OTU32",6
"OTU1209",6
"OTU2525",6
"OTU2289",6
"OTU994",6
"OTU1254",6
"OTU2568",6
"OTU1760",6
"OTU2401",6
"OTU1887",6
"OTU2281",6
"OTU2980",6
"OTU1761",6
"OTU1904",6
"OTU2467",6
"OTU2646",6
"OTU2472",6
"OTU2819",6
"OTU2892",6
"OTU2710",6
"OTU2500",6
"OTU1054",6
"OTU2392",6
"OTU2824",6
"OTU2754",6
"OTU1648",6
"OTU2541",6
"OTU3156",6
"OTU2346",6
"OTU387",6
"OTU1097",6
"OTU2553",6
"OTU2503",6
"OTU1614",6
"OTU3013",6
"OTU2455",6
"OTU2060",6
"OTU2573",6
"OTU2877",6
"OTU1918",6
"OTU2871",6
"OTU1540",7
"OTU947",7
"OTU2353",7
"OTU2570",7
"OTU1984",7
"OTU852",7
"OTU3213",7
"OTU1331",7
"OTU2586",7
"OTU1541",7
"OTU3184",7
"OTU592",7
"OTU2434",7
"OTU2648",7
"OTU3146",7
"OTU743",7
"OTU2990",7
"OTU2994",7
"OTU1269",7
"OTU1017",7
"OTU2622",7
"OTU3188",7
"OTU3243",7
"OTU2091",7
"OTU1793",7
"OTU1432",7
"OTU2641",7
"OTU3164",7
"OTU2022",7
"OTU1746",7
"OTU2638",7
"OTU1597",7
"OTU1825",7
"OTU2093",7
"OTU2780",7
"OTU1835",7
"OTU1902",7
"OTU984",7
"OTU715",7
"OTU2551",7
"OTU2266",7
"OTU2576",7
"OTU2517",7
"OTU2660",7
"OTU993",7
"OTU2783",8
"OTU1721",8
"OTU2141",8
"OTU1480",8
"OTU3104",8
"OTU3084",8
"OTU2413",8
"OTU2516",8
"OTU2183",8
"OTU2523",8
"OTU407",8
"OTU57",8
"OTU1451",8
"OTU3015",8
"OTU1803",8
"OTU863",8
"OTU595",8
"OTU2759",8
"OTU2880",8
"OTU1388",8
"OTU2095",8
"OTU716",8
"OTU2532",8
"OTU1229",8
"OTU2125",8
"OTU68",8
"OTU2124",8
"OTU1592",8
"OTU3083",8
"OTU2808",8
"OTU1420",8
"OTU2260",8
"OTU2312",8
"OTU1293",8
"OTU3034",8
"OTU1610",8
"OTU1144",8
"OTU3116",9
"OTU1640",9
"OTU1767",9
"OTU2140",9
"OTU2684",9
"OTU2574",9
"OTU2504",9
"OTU2477",9
"OTU2360",9
"OTU1053",9
"OTU2427",9
"OTU1412",9
"OTU2689",9
"OTU2692",9
"OTU600",9
"OTU2167",9
"OTU2100",9
"OTU2791",9
"OTU2396",9
"OTU627",9
"OTU2705",9
"OTU2386",9
"OTU2957",9
"OTU2344",9
"OTU3036",9
"OTU2128",9
"OTU2630",9
"OTU2555",9
"OTU3023",9
"OTU1443",9
"OTU2540",9
"OTU2437",9
"OTU2985",9
"OTU1934",9
"OTU314",9
"OTU2752",9
"OTU2835",9
"OTU840",9
"OTU910",9
"OTU2554",9
"OTU2813",9
"OTU3162",9
"OTU74",9
"OTU2094",9
"OTU2967",9
"OTU335",10
"OTU2656",10
"OTU2286",10
"OTU1262",10
"OTU952",10
"OTU2423",10
"OTU1078",10
"OTU2982",10
"OTU513",10
"OTU97",10
"OTU347",10
"OTU336",10
"OTU365",10
"OTU28",10
"OTU680",10
"OTU385",10
"OTU463",10
"OTU402",10
"OTU2358",10
"OTU99",10
"OTU3042",10
"OTU2471",10
"OTU197",10
"OTU962",10
"OTU2248",10
"OTU41",10
"OTU236",10
"OTU397",10
"OTU1131",11
"OTU683",11
"OTU864",11
"OTU2788",11
"OTU2263",11
"OTU727",11
"OTU2552",11
"OTU2606",11
"OTU858",11
"OTU1339",11
"OTU941",11
"OTU1258",11
"OTU2663",11
"OTU640",11
"OTU1371",11
"OTU669",11
"OTU2269",11
"OTU1367",11
"OTU2581",11
"OTU155",11
"OTU1052",11
"OTU453",11
"OTU597",11
"OTU326",11
