"Name","Dist","Lth","Prt","nNode","nChd","Chd1","Chd2","Chd3","lf2rt"
"1",0,0,0,3335,3,2,5161,5176,27.2908
"2",6e-04,6e-04,1,2580,2,3,4494,0,1.98942
"3",0.01617,0.01677,2,2246,2,4,2291,0,1.98942
"4",9e-04,0.01767,3,1144,2,5,2214,0,1.98942
"5",0.01159,0.02926,4,1105,2,6,1597,0,1.98942
"6",0.00371,0.03297,5,796,2,7,328,0,1.07071
"7",0.01872,0.05169,6,161,2,8,9,0,0.8922
"OTU3059",0.27662,0.32831,7,1,0,0,0,0,0.32831
"9",0.01448,0.06617,7,160,2,10,181,0,0.8922
"10",0.02309,0.08926,9,86,2,11,168,0,0.54644
"11",0.0561,0.14536,10,79,2,12,25,0,0.54644
"12",0.04528,0.19064,11,7,2,13,20,0,0.27943
"13",0.01486,0.2055,12,4,2,14,19,0,0.25797
"14",0.00221,0.20771,13,3,2,15,16,0,0.25797
"OTU1348",0.00459,0.2123,14,1,0,0,0,0,0.2123
"16",0.01571,0.22342,14,2,2,17,18,0,0.25797
"OTU2384",0.02382,0.24724,16,1,0,0,0,0,0.24724
"OTU3292",0.03455,0.25797,16,1,0,0,0,0,0.25797
"OTU860",0.00055,0.20605,13,1,0,0,0,0,0.20605
"20",0.01705,0.20769,12,3,2,21,24,0,0.27943
"21",0.02388,0.23157,20,2,2,22,23,0,0.27943
"OTU1512",0.03044,0.26201,21,1,0,0,0,0,0.26201
"OTU1945",0.04786,0.27943,21,1,0,0,0,0,0.27943
"OTU1791",0.04082,0.24851,20,1,0,0,0,0,0.24851
"25",0.08266,0.22802,11,72,2,26,153,0,0.54644
"26",0.01877,0.24679,25,64,2,27,148,0,0.54644
"27",0.00329,0.25008,26,61,2,28,29,0,0.54644
"OTU2103",0.0489,0.29898,27,1,0,0,0,0,0.29898
"29",0.0173,0.26738,27,60,2,30,147,0,0.54644
"30",0.01165,0.27903,29,59,2,31,122,0,0.54644
"31",0.0033,0.28233,30,46,2,32,121,0,0.54644
"32",0.01678,0.29911,31,45,2,33,34,0,0.54644
"OTU1846",0.04866,0.34777,32,1,0,0,0,0,0.34777
"34",0.01692,0.31603,32,44,2,35,120,0,0.54644
"35",0.01701,0.33304,34,43,2,36,107,0,0.54644
"36",0.00215,0.33519,35,36,2,37,66,0,0.54644
"37",0.00455,0.33974,36,15,2,38,39,0,0.54644
"OTU53",0.04842,0.38816,37,1,0,0,0,0,0.38816
"39",0.0129,0.35264,37,14,2,40,41,0,0.54644
"OTU1392",0.03117,0.38381,39,1,0,0,0,0,0.38381
"41",0.00353,0.35617,39,13,2,42,61,0,0.54644
"42",0.02401,0.38018,41,10,2,43,54,0,0.54644
"43",0.03037,0.41055,42,6,2,44,45,0,0.54644
"OTU1219",0.06808,0.47863,43,1,0,0,0,0,0.47863
"45",0.03577,0.44632,43,5,2,46,51,0,0.54644
