"OTU","Bin"
"OTU1939",1
"OTU1136",1
"OTU1986",1
"OTU1953",1
"OTU471",1
"OTU759",1
"OTU1223",1
"OTU2324",1
"OTU2022",1
"OTU1344",1
"OTU1384",1
"OTU1452",1
"OTU2614",1
"OTU26",1
"OTU1670",1
"OTU265",1
"OTU1681",1
"OTU683",1
"OTU1083",1
"OTU2089",1
"OTU1529",1
"OTU2265",1
"OTU388",1
"OTU2015",1
"OTU698",1
"OTU975",1
"OTU137",1
"OTU1131",1
"OTU271",1
"OTU222",1
"OTU1135",1
"OTU1586",1
"OTU908",1
"OTU1381",1
"OTU259",1
"OTU1607",1
"OTU2063",1
"OTU2028",1
"OTU784",1
"OTU1383",2
"OTU1763",2
"OTU1642",2
"OTU1861",2
"OTU1388",2
"OTU2007",2
"OTU1900",2
"OTU2418",2
"OTU1158",2
"OTU1055",2
"OTU2647",2
"OTU2001",2
"OTU84",2
"OTU284",2
"OTU1206",2
"OTU499",2
"OTU352",2
"OTU1682",2
"OTU1409",2
"OTU1525",2
"OTU1804",2
"OTU218",2
"OTU2565",2
"OTU1241",2
"OTU2596",2
"OTU751",2
"OTU1578",2
"OTU1571",2
"OTU1869",2
"OTU1707",2
"OTU2055",2
"OTU980",2
"OTU2094",2
"OTU1343",2
"OTU617",2
"OTU2397",2
"OTU1796",2
"OTU1257",2
"OTU1712",2
"OTU1294",2
"OTU1954",2
"OTU1941",3
"OTU1265",3
"OTU1735",3
"OTU2199",3
"OTU22",3
"OTU1362",3
"OTU2483",3
"OTU365",3
"OTU682",3
"OTU2059",3
"OTU393",3
"OTU586",3
"OTU1860",3
"OTU1965",3
"OTU1576",3
"OTU1646",3
"OTU1513",3
"OTU1305",3
"OTU444",3
"OTU1301",3
"OTU847",3
"OTU1133",3
"OTU1905",3
"OTU874",3
"OTU1720",3
"OTU608",3
"OTU359",3
"OTU726",3
"OTU318",3
"OTU546",3
"OTU2507",3
"OTU1914",3
"OTU2506",3
"OTU1537",3
"OTU2452",3
"OTU642",3
"OTU2686",3
"OTU2183",3
"OTU2262",3
"OTU1742",3
"OTU2251",3
"OTU125",3
"OTU1771",3
"OTU929",3
"OTU1686",3
"OTU1539",3
"OTU420",3
"OTU1851",3
"OTU1427",3
"OTU1627",3
"OTU1984",3
"OTU42",3
"OTU1559",4
"OTU310",4
"OTU342",4
"OTU1547",4
"OTU2271",4
"OTU1911",4
"OTU2189",4
"OTU1548",4
"OTU800",4
"OTU1347",4
"OTU2708",4
"OTU298",4
"OTU253",4
"OTU1690",4
"OTU331",4
"OTU1461",4
"OTU486",4
"OTU1328",4
"OTU319",4
"OTU322",4
"OTU2023",4
"OTU1140",4
"OTU2046",4
"OTU1759",4
"OTU1592",4
"OTU1079",4
"OTU1272",4
"OTU1430",4
"OTU1570",5
"OTU194",5
"OTU2301",5
"OTU85",5
"OTU982",5
"OTU1580",5
"OTU832",5
"OTU2695",5
"OTU567",5
"OTU1852",5
"OTU1335",5
"OTU297",5
"OTU853",5
"OTU231",5
"OTU439",5
"OTU875",5
"OTU272",5
"OTU777",5
"OTU436",5
"OTU229",5
"OTU1505",5
"OTU1945",5
"OTU1100",5
"OTU302",5
"OTU321",5
"OTU1716",5
"OTU260",5
"OTU2365",5
"OTU293",5
"OTU1774",5
"OTU1609",5
"OTU1930",5
"OTU1293",5
"OTU710",5
"OTU2027",5
"OTU1800",5
"OTU1340",5
"OTU2244",5
"OTU1835",5
"OTU1084",5
"OTU316",5
"OTU374",5
"OTU1299",5
"OTU508",5
"OTU1886",5
"OTU299",5
"OTU57",6
"OTU12",6
"OTU2043",6
"OTU2033",6
"OTU415",6
"OTU1493",6
"OTU2014",6
"OTU1585",6
"OTU63",6
"OTU341",6
"OTU1104",6
"OTU962",6
"OTU269",6
"OTU292",6
"OTU2132",6
"OTU1026",6
"OTU1064",6
"OTU2122",6
"OTU900",6
"OTU470",6
"OTU700",6
"OTU1087",6
"OTU372",6
"OTU2261",6
"OTU2498",6
"OTU1375",6
"OTU353",6
"OTU1429",6
"OTU2497",6
"OTU2671",6
"OTU1955",6
"OTU223",6
"OTU981",6
"OTU2545",6
"OTU2678",6
"OTU71",6
"OTU2584",6
"OTU789",6
"OTU1157",6
"OTU151",6
"OTU391",6
"OTU505",6
"OTU2129",6
"OTU2279",6
"OTU200",6
"OTU173",6
"OTU2516",6
"OTU2449",6
"OTU2464",6
"OTU2698",6
"OTU948",6
"OTU24",6
"OTU344",6
"OTU2133",6
"OTU428",6
"OTU1664",6
"OTU1464",6
"OTU2329",6
"OTU2618",6
"OTU2652",6
"OTU556",7
"OTU654",7
"OTU1251",7
"OTU443",7
"OTU1776",7
"OTU1653",7
"OTU2144",7
"OTU1749",7
"OTU408",7
"OTU1378",7
"OTU167",7
"OTU1727",7
"OTU1577",7
"OTU872",7
"OTU1366",7
"OTU2676",7
"OTU491",7
"OTU2439",7
