OTU,O,H1_B,H1_M,H1_T,H2_B,H2_M,H2_T,HH1_B,HH1_M,HH1_T,HH2_B,HH2_M,HH2_T,M1_B,M1_M,M1_T,M2_B,M2_M,M2_T,MM1_B,MM1_M,MM1_T,MM2_B,MM2_M,MM2_T,bH1_B,bH1_M,bH1_T,bH2_B,bH2_M,bH2_T,bHH1_B,bHH1_M,bHH1_T,bHH2_B,bHH2_M,bHH2_T,bM1_B,bM1_M,bM1_T,bM2_B,bM2_M,bM2_T,bMM1_B,bMM1_M,bMM1_T,bMM2_B,bMM2_M,bMM2_T,SUM
OTU1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTU10,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
OTU100,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
OTU1000,1,0,0,0,0,1,0,0,1,0,0,9,1,0,0,0,1,15,8,1,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,51
OTU1001,0,3,1,0,2,8,1,4,2,0,0,3,0,2,0,0,2,2,3,1,1,0,0,1,0,17,5,1,23,32,38,15,16,0,3,4,19,0,0,0,2,2,5,5,0,0,1,1,1,226
OTU1002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
OTU1003,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
OTU1004,9,204,101,239,111,249,217,272,189,84,43,70,104,1,1,1,6,19,20,9,10,0,5,57,36,6,0,164,280,19,36,5,16,47,20,6,3,1,0,0,1,3,1,0,0,0,0,0,1,2666
OTU1005,3,1,0,0,0,8,4,4,1,0,0,3,2,0,1,1,1,21,9,6,5,0,2,16,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99
OTU1006,0,1,1,1,4,0,0,1,0,3,6,1,4,0,0,0,0,0,1,0,1,0,0,1,3,2,30,14,3,3,6,0,1,1,9,13,33,0,0,0,0,0,0,0,0,0,0,0,0,143
OTU1007,1,4,0,0,0,0,2,1,0,0,0,1,0,1,0,0,4,5,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27
OTU1008,0,35,127,15,3,2,0,5,9,1,0,2,6,0,0,0,0,3,2,0,1,0,1,5,2,43,54,22,2,0,0,21,6,1,6,2,0,2,0,0,0,1,2,1,0,2,1,0,0,385
OTU1009,0,0,0,0,0,0,0,2,3,0,1,2,2,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
OTU101,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
OTU1010,0,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,4,3,0,1,5,3,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
OTU1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU1012,0,0,0,0,1,0,0,13,25,115,1,10,41,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,5,2,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,256
